epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.297,1.91102,1.58208,1.00684,0.52131,0.40919,0.3883,0.1994,1.70388,1.09424,0.94851,0.00055498,0.00055498,0.00055498
2,343.245,1.8199,1.22687,0.97304,0.5432,0.40623,0.39256,0.19925,1.73912,1.12881,0.96897,0.00108866,0.00108866,0.00108866
3,508.776,1.79468,1.18209,0.96367,0.54665,0.42844,0.42794,0.22438,1.64073,1.01565,0.93577,0.00160033,0.00160033,0.00160033
4,675.088,1.76055,1.14349,0.9563,0.58225,0.45045,0.45226,0.23674,1.57958,1.02693,0.92545,0.00156798,0.00156798,0.00156798
5,840.595,1.73374,1.11386,0.94797,0.58073,0.45273,0.45616,0.24049,1.58634,0.96869,0.92609,0.00153497,0.00153497,0.00153497
6,1008.15,1.72372,1.0948,0.94546,0.59034,0.45328,0.46189,0.24399,1.57685,0.95216,0.92448,0.00150197,0.00150197,0.00150197
7,1174.68,1.70412,1.07265,0.94085,0.60149,0.45535,0.47066,0.25095,1.5618,0.94525,0.91992,0.00146896,0.00146896,0.00146896
8,1342.21,1.70122,1.0566,0.93264,0.6223,0.46254,0.48447,0.25968,1.54989,0.94123,0.91282,0.00143595,0.00143595,0.00143595
9,1507.23,1.67175,1.03404,0.93157,0.62438,0.46991,0.49382,0.25929,1.53633,0.95808,0.90678,0.00140295,0.00140295,0.00140295
10,1679.83,1.65383,1.02499,0.92901,0.60385,0.46599,0.4803,0.2542,1.53738,0.92939,0.9083,0.00136994,0.00136994,0.00136994
11,1849.23,1.65591,1.01106,0.92444,0.63703,0.4754,0.50294,0.26727,1.51285,0.89498,0.90828,0.00133693,0.00133693,0.00133693
12,2019.22,1.64377,1.00082,0.92133,0.64884,0.47915,0.51165,0.27414,1.49674,0.87914,0.90548,0.00130393,0.00130393,0.00130393
13,2188.96,1.64028,0.99752,0.9215,0.66324,0.48424,0.51498,0.27688,1.48978,0.87161,0.9026,0.00127092,0.00127092,0.00127092
14,2359.53,1.61865,0.9793,0.91809,0.64415,0.49743,0.52549,0.28329,1.47369,0.87247,0.8988,0.00123791,0.00123791,0.00123791
15,2530.32,1.6211,0.9776,0.91769,0.66281,0.48673,0.5183,0.28033,1.47716,0.86461,0.90115,0.00120491,0.00120491,0.00120491
16,2698.14,1.60322,0.96478,0.91525,0.65588,0.49049,0.52283,0.28057,1.47479,0.88382,0.89874,0.0011719,0.0011719,0.0011719
17,2867.88,1.60864,0.96603,0.91221,0.66259,0.49532,0.52818,0.28678,1.46287,0.85116,0.89723,0.00113889,0.00113889,0.00113889
18,3039.66,1.58389,0.95341,0.91118,0.6551,0.4931,0.53018,0.28709,1.46089,0.85512,0.89433,0.00110589,0.00110589,0.00110589
19,3213.07,1.59103,0.95378,0.91276,0.6571,0.50266,0.53136,0.28892,1.45089,0.85351,0.89446,0.00107288,0.00107288,0.00107288
20,3384.39,1.57953,0.93574,0.90824,0.65501,0.50485,0.53524,0.29041,1.4498,0.84232,0.89137,0.00103987,0.00103987,0.00103987
21,3554.27,1.57417,0.93762,0.90941,0.66746,0.50788,0.54145,0.29574,1.43688,0.83253,0.89069,0.00100687,0.00100687,0.00100687
22,3725.82,1.57141,0.93186,0.9058,0.65511,0.51473,0.54251,0.29713,1.43269,0.82332,0.89006,0.000973861,0.000973861,0.000973861
23,3895.09,1.57421,0.93011,0.90524,0.66288,0.50753,0.54253,0.29531,1.43662,0.82855,0.88937,0.000940855,0.000940855,0.000940855
24,4064.14,1.55899,0.92192,0.90268,0.66743,0.51246,0.54413,0.29745,1.43067,0.83233,0.88939,0.000907848,0.000907848,0.000907848
25,4232.64,1.55341,0.92049,0.90527,0.66609,0.50858,0.54132,0.29597,1.43167,0.83553,0.88954,0.000874842,0.000874842,0.000874842
26,4400.5,1.5572,0.91943,0.90191,0.66978,0.51725,0.5525,0.3026,1.41764,0.81825,0.88669,0.000841835,0.000841835,0.000841835
27,4568.64,1.53972,0.90281,0.90086,0.66653,0.52168,0.55279,0.3019,1.4178,0.81672,0.88513,0.000808828,0.000808828,0.000808828
28,4735.52,1.53023,0.897,0.89703,0.6717,0.52099,0.55156,0.30258,1.41742,0.81117,0.88407,0.000775822,0.000775822,0.000775822
29,4902.96,1.54464,0.90291,0.89997,0.67477,0.519,0.55373,0.30373,1.41273,0.81063,0.88415,0.000742815,0.000742815,0.000742815
30,5075.81,1.53704,0.89731,0.89845,0.66503,0.52708,0.5572,0.30626,1.4103,0.81195,0.88489,0.000709809,0.000709809,0.000709809
31,5245.71,1.53495,0.89494,0.89662,0.67883,0.52503,0.55942,0.30629,1.41077,0.80997,0.88471,0.000676802,0.000676802,0.000676802
32,5416.74,1.52812,0.89089,0.89729,0.68297,0.52165,0.56018,0.30651,1.41111,0.80467,0.885,0.000643795,0.000643795,0.000643795
33,5587.78,1.52529,0.88667,0.89202,0.67989,0.52247,0.56079,0.30805,1.40811,0.80457,0.88278,0.000610789,0.000610789,0.000610789
34,5756.75,1.52306,0.88299,0.89557,0.68379,0.52531,0.56249,0.30907,1.40526,0.79875,0.88189,0.000577782,0.000577782,0.000577782
35,5924.8,1.5122,0.877,0.89029,0.6759,0.53133,0.56611,0.31108,1.40028,0.8005,0.88042,0.000544776,0.000544776,0.000544776
36,6093.48,1.51777,0.88,0.89046,0.67801,0.53025,0.56536,0.3109,1.39459,0.7938,0.88067,0.000511769,0.000511769,0.000511769
37,6264.34,1.50412,0.87355,0.89107,0.67868,0.52987,0.56611,0.31193,1.39671,0.79495,0.88065,0.000478762,0.000478762,0.000478762
38,6437.95,1.50671,0.86873,0.88888,0.67699,0.52929,0.56598,0.3117,1.39789,0.79029,0.87913,0.000445756,0.000445756,0.000445756
39,6610.9,1.49639,0.86362,0.88722,0.68977,0.53151,0.56945,0.31336,1.38741,0.7871,0.8785,0.000412749,0.000412749,0.000412749
40,6782.95,1.48202,0.85377,0.88714,0.68939,0.5306,0.5699,0.31428,1.38738,0.78604,0.87793,0.000379743,0.000379743,0.000379743
41,6949.33,1.44735,0.83881,0.88976,0.69152,0.52251,0.56398,0.31093,1.39538,0.79174,0.87944,0.000346736,0.000346736,0.000346736
42,7111.72,1.44052,0.82935,0.88848,0.68974,0.52711,0.56613,0.31175,1.39849,0.78736,0.88027,0.000313729,0.000313729,0.000313729
43,7271.83,1.43258,0.82503,0.88706,0.69031,0.5314,0.56757,0.3124,1.39163,0.78822,0.87852,0.000280723,0.000280723,0.000280723
44,7433.54,1.4291,0.82051,0.88578,0.68284,0.53299,0.56913,0.31324,1.39331,0.78626,0.87927,0.000247716,0.000247716,0.000247716
45,7596.38,1.42585,0.81584,0.88444,0.68842,0.53327,0.57084,0.31499,1.38467,0.78197,0.87663,0.00021471,0.00021471,0.00021471
46,7755.99,1.41794,0.80916,0.88335,0.69233,0.53223,0.57211,0.31583,1.38482,0.78264,0.87622,0.000181703,0.000181703,0.000181703
47,7914.55,1.41368,0.80663,0.88229,0.69205,0.53287,0.572,0.31555,1.38527,0.77974,0.87691,0.000148696,0.000148696,0.000148696
48,8076.89,1.41355,0.80508,0.88168,0.69069,0.53369,0.57345,0.31616,1.38164,0.77715,0.87602,0.00011569,0.00011569,0.00011569
49,8239.48,1.40934,0.80063,0.87998,0.69046,0.53332,0.57031,0.31602,1.3815,0.77796,0.87594,8.26832e-05,8.26832e-05,8.26832e-05
50,8401.82,1.40581,0.79877,0.88139,0.69164,0.53395,0.57356,0.31669,1.38159,0.77703,0.87623,4.96766e-05,4.96766e-05,4.96766e-05
